Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
49.38316,0.020300933,-0.030142455,5680,49.38316,0.03877569,-0.038990622,5680
49.71683,0.025735287,-0.035297407,5690,49.71683,0.04823856,-0.044815279,5690
50.0505,0.030971265,-0.03911263,5700,50.0505,0.053096024,-0.04528813,5700
50.38417,0.036163936,-0.036652502,5710,50.38417,0.05620863,-0.045368241,5710
50.71784,0.040676265,-0.037756137,5720,50.71784,0.059956263,-0.043504194,5720
51.05151,0.042471418,-0.036282296,5730,51.05151,0.058981253,-0.042071965,5730
51.38518,0.044432815,-0.036475083,5740,51.38518,0.057920271,-0.041522912,5740
51.71885,0.044925958,-0.038173842,5750,51.71885,0.056024961,-0.042675729,5750
52.05252,0.043195067,-0.038993885,5760,52.05252,0.05739271,-0.042363101,5760
52.38619,0.043291461,-0.038013186,5770,52.38619,0.055184772,-0.042148169,5770
52.71986,0.04538697,-0.040199501,5780,52.71986,0.054414925,-0.043187658,5780
53.05353,0.048859926,-0.045161666,5790,53.05353,0.055196496,-0.046607031,5790
53.3872,0.046522735,-0.035360272,5800,53.3872,0.04889508,-0.042650328,5800
53.72087,0.037530208,-0.032826103,5810,53.72087,0.040833175,-0.04075111,5810
54.05454,0.038709281,-0.034262225,5820,54.05454,0.039529906,-0.040401357,5820
54.38821,0.042042537,-0.033929738,5830,54.38821,0.044580808,-0.038887064,5830
54.72188,0.042985516,-0.031051906,5840,54.72188,0.049405055,-0.035121846,5840
55.05555,0.042985516,-0.031051906,5850,55.05555,0.049625849,-0.035143339,5850
55.38922,0.042229736,-0.028667216,5860,55.38922,0.048736812,-0.032827935,5860
55.72289,0.038633843,-0.028313774,5870,55.72289,0.046556229,-0.03462164,5870
56.05656,0.035627486,-0.028678392,5880,56.05656,0.043164211,-0.037411848,5880
56.39023,0.033478891,-0.033748127,5890,56.39023,0.041538543,-0.040374002,5890
56.7239,0.027696683,-0.035490194,5900,56.7239,0.042804688,-0.043394774,5900
57.05757,0.028087845,-0.034868526,5910,57.05757,0.045147447,-0.044514375,5910
